Class,Sequence,distance_11_13,distance_12_14,distance_23_11,distance_24_12,distance_25_23,distance_26_24,distance_27_25,distance_28_26,distance_11_12,distance_13_14,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle
0,0,0.099065427,0.121508085,0.186387529,0.156481251,0.14466297,0.127996398,0.148839149,0.177530201,0.130605082,0.174154647,159.6139911,177.3152475,24.31910888,67.46969655,177.0734657,152.7284067,153.8263206,125.4297917
0,0,0.108665804,0.119017285,0.191957082,0.157551414,0.144948036,0.136007939,0.152045004,0.169774736,0.130985636,0.167413563,158.4458486,177.3799158,19.39649537,57.69306025,175.7445688,167.961773,151.252061,138.5374261
0,0,0.108672487,0.11504391,0.192640697,0.159771785,0.14563733,0.136717996,0.15088335,0.15816178,0.132222258,0.16924612,157.3059469,177.8201353,14.39420961,54.78860536,174.1761032,174.9516083,151.1940189,150.4172789
0,0,0.108565973,0.111736912,0.1948051,0.160987534,0.147770538,0.136535462,0.148934842,0.15442287,0.133305386,0.170567662,158.3013914,177.5056022,10.87419396,52.34041083,173.0615993,176.7209439,151.6270713,161.8587517
0,0,0.110954617,0.108783304,0.195931298,0.16243043,0.147450835,0.136926601,0.146566332,0.14631662,0.133845107,0.168619055,156.4795801,178.6765887,7.673463615,49.29900223,172.1513329,176.4569253,153.9855045,166.669082
0,0,0.107305453,0.10695661,0.194586443,0.160632985,0.144935129,0.137128608,0.14683425,0.146702695,0.135888684,0.16731011,157.5809525,177.8598014,6.008164124,45.90190079,171.3123456,178.8583942,153.2067066,163.0075951
0,0,0.11050554,0.106905641,0.194356878,0.15993455,0.143848464,0.135818366,0.148452802,0.144937379,0.1372664,0.163397445,160.6106767,175.9009975,5.952744019,42.32918598,166.3658562,177.8662509,154.6937887,164.2562495
0,0,0.111846817,0.108467732,0.195677494,0.163596951,0.143542838,0.135947646,0.145283143,0.142688457,0.138475341,0.164324258,161.8462745,176.5684769,3.761970914,36.47069008,164.4142093,173.1129025,157.1095527,167.0867081
0,0,0.112462494,0.108539401,0.198127557,0.166409873,0.149461801,0.141184866,0.142138506,0.147825475,0.140251451,0.163222457,167.6062709,176.2134391,3.14128121,35.18257786,161.0324869,177.334578,162.2371742,162.58025
0,0,0.114183382,0.108802589,0.201216665,0.172668807,0.152270037,0.144736942,0.139104376,0.146674294,0.140670683,0.158969829,169.186107,176.2727493,4.024858193,32.46903965,160.1605386,175.1617249,163.7812003,165.7013837
0,1,0.10892594,0.095260162,0.180395341,0.167827413,0.145491331,0.134445519,0.136927005,0.138994154,0.154995348,0.167216294,170.1899715,177.9173801,4.091375381,24.9841462,178.2609349,152.3347063,146.9227651,147.0911203
0,1,0.109826974,0.09887914,0.188747936,0.177077165,0.153095877,0.143638,0.125517319,0.13186099,0.155226893,0.168843289,169.1639454,178.3941517,5.121628505,23.77593637,176.237173,154.1662372,156.5699088,146.8354328
0,1,0.110691151,0.100571563,0.191253027,0.180041465,0.158141009,0.145745348,0.120949632,0.130833879,0.155340554,0.169062178,168.8443109,179.2703902,5.345860369,23.25953426,175.6269137,154.8070429,159.9730927,145.6519533
0,1,0.111405579,0.101270715,0.191702536,0.180935428,0.157321942,0.142152699,0.121516951,0.132938291,0.154653899,0.169438683,167.271859,179.8657315,5.741627182,23.3675147,175.5557008,154.7906675,162.9564519,145.3040609
0,1,0.111655806,0.101459607,0.193621424,0.182629835,0.156192556,0.137697939,0.124086314,0.126353668,0.153428606,0.169423626,164.7364449,178.346654,6.129674374,23.53236305,175.9216958,167.595321,164.2644107,167.9103652
0,1,0.111733608,0.101886186,0.194312548,0.182355483,0.155256864,0.137324651,0.122489162,0.12641148,0.151873819,0.167476685,165.0676535,177.1738394,6.656887539,23.54892448,173.5028184,168.6621971,167.13546,169.9081606
0,1,0.11165651,0.102040718,0.196079166,0.183498281,0.1593224,0.140167395,0.120492572,0.129358424,0.151539278,0.16412498,166.2217637,176.4947034,5.846563411,23.24430408,170.866346,162.8056322,169.2758375,157.0179681
